summonerId,summonerName,enemyMissingPings,matchCount
kcOdDT_1hH1ZG4syvaCBvggv1a-t7WbEAQAc1X3pRzrtnbc7,화림 사랑해,29,1
5XVwQBcpHlzT1j_6XMdXF4_BYFIFetstfevCWxDcvE8kd1c,악마 수확자,29,1
sEdef0jZsMrtCrhgm-qu3lhJrXbT4Y_nRW5gXLT6KbhTWO12,핵융합발전,29,1
3mjG-r95Iql_3KpWG92OvKLKGKJjm78KfxsT_XYiu1AUB-qCjcixudTr1Q,초코렛,29,2
ShkDzuKn4sQrNwd86tczgQ_4hRkxXJkTIQkGR54D1EC_0Cs,광명도시남,29,1
NU7gOdzWjBHkMhuxQ3_V7Rj7LWwuIRGP16QxzSeQn4jwjrY,망나니 혜지공주,29,1
mkbvNG-hLxHaWKwzMKXZoTdelPR1q5OjzFwEt8YVk4EyHw,어린 댕댕이,29,2
Q4QlFn9Y1r3NQ2mL1jvlKgGRXCDcpWZ2x9IKqepOU-n3358,FEBRUS,29,3
OLp7tmPn8rkM-1-YP5kp1PXOpQAoFYuxQ6eL_qR131Sm6Q,문  킹,29,1
8fdoPagMtvGSVIKA87f4MVuyEEIHcD2QYy1GsT-scCYGN9A,제군면,29,1
-pbucxwQ0zFAJRg_YkxhsAVcVQmTdssjvSio914ND7po545dQKIPCoipdQ,백정이 될 남자,29,1
k1SbSe8lK4jbmskB8neIDgZYDUWrVMI3yM8hiZjc_47xVow,온수동온수,28,1
M7ziJ08OEt1W_DpKSwdbzLp2vnuY87GCkXW2xwFuFL26PBY,레드팀 미니언,28,4
2ROGEzOxlLY4k1lAhS0RLeDUu7lVNkeQZFC2f38dzfSIF8_e,뿔테축구남,28,1
KMi6FXAmlrti_k5StrvtVTqyiIyiFIiVowG3wofVPO0Y8w,약한나로,28,1
8-STdAW271bBHCyqYR04JaVLr0m5zHsUgFn5uR7w6_t21LE,윈도우XP,28,1
e9oVHATXVC3O1deFiHFif-9-AjUQjcAPvrFZFIM_vc6p4JU,커피 프라페,28,1
3SuAcbRBv0C17U7guZXdc6ls_jHIP3-TlaqgkZFDLox0JEU,01수진,28,1
ai54GzQX0m0BJ40VBBNgnCFTfKrkXLKi9PohId3GbMr-388,송현이는곧휴가철,27,1
oOPJyFPsydjlHZ8mYUGlb7pbH-7ybTjPA1MhLQU8Nm1o6w,오늘은장군님,27,1
R7V92CRTLBoN7ROsWfEWZaPcO5y2k7sXmADguvY4jxF30rY,불끈불끈바오밥,27,1
XRoNxifK4W-KNKl3JnxJ9NoWiugPXJhqOLdKzXJAMPmfBME,선주멋쟁이,27,1
pJNIFRgQG8suE2rbBLFXzQnYttJb9Pns6C9CpHkNaFotjg,침착차단집중,27,1
xJsLcbHuSexTJJ3SRHx_7Yb82DXe1Zc2sP-sI5wSkKJq7g,꼬소하노,27,1
v25Sl_RyxQxVEJ1-zoIQ_i7Kn3gxeKNLdnJF8fz8iYsq-A,효루루,27,1
-nFGpKGmgvkxFv8_T77luJ4MsuJ_FwWO8tK_1s6yQmWGGw,네잎클로벌,27,1
xSCqVdxykS_o_-oo2qD3h7i4l_Xq2vGKxZk2beiaXZntzsa_ApVdlONaKw,시녁종,27,1
1yhEv96QBNEtJsKGcJq2yGnWiEcWg3XHns6rLtmPUYaOiiA,잔나할래,27,1
ok9WTK8g_ARYo9urQPztSlZnEhI_arDo9D4Et17VvJIWYg,유미는그런건몰라,27,1
dh-wE9TBSrz2EDBUtIYEQAlxSshSgp7yaJrUidYAJS0YAyo,롤좀하자1,27,1
A6YgEKjGi8NR-KdacLXEV5gzZGxuhPWnK6s8CMi7uUR6Gf8,social agent c,27,1
J0-Fc1v39tJ-zq8-98BXtCl4WCCXKh3HrgWJ6A_7shSGDGY,살려줘요 아크샨,27,2
YqGwScd1V50tWPa9cpyxwqwN3GH3Ry2JV64LvSs-QHLWHak,김준혁거지,27,1
pdWSrOM5gns3MVBHFrtUji8rDxkMKpw7tCiczExs3rBBlY0X8FoOOHBvHg,친애하는 박도현,26,1
kNdGIKu-wuBbSROFWtOgy55xieGJCe4AvdJexTcrZKa2hQ,대황제,26,1
eWkZApsp6CextBsWYSTpTtQnz5HlxMFfGvQ_TQDR6vwBpyg,도구 학살,26,2
ATjKOfhsZfi4QoueRue3jBUnUYVMIdTWPHgAvyCduISYMxQ,강남최강건물주,26,1
fYjW2WRWlpYVU_TkRW2IywPnVRrWPDbp2RW5I5jmIpoIvdkZkUrK8n-ZIQ,K1 Keria,26,1
m-Zd6ZdjjpNdxTJCTXBPwcxCi3GWbZOSwTVEvE-Q8kQKaP_8NkvFXjydKA,북취기벅취기,26,1
_EhKYTaGa6YAgQfvYgKXgZlkEmRtSkeMvd-enmdhg3l9aA,미드서폿 브랜드,26,28
LMztxQ9aL79Q_dP9k7yu8Y9tElk_z2SVoajfVRJVgxZnuw,형 라,26,3
wV6ElPg2aoxKZuKLMrILbOzcqWGux0f1s0MgoXZrbS1xa3jinBhSuPlIig,용호상박,26,1
_TpLmxRB6DEQKdTr_QqsBDY9U1JVyK4NF3a-CqwoRFUqYAg,원딜하는 가은이,26,1
84fNDE8vCPhN-xEVH3T03QSBiztp8vRXM8KQpINC8GzKdAQ,멸 O,26,1
xtDpRe4euCWv0aqVJ9_Lp5bSPVCUedbQdD5ModuWIz-EBg,로드롤러DAAAAA,26,2
BG0h1XUvXob_Hd4zBDKtaBSf208IhAp74cXN9H0HCO8puOI,너에게 제드란,25,6
_-8YM2DCxuRVfini4JrjMYkse7_L4gpLfzBCaicv1NusILE,서폿가는 김지나,25,1
3z5qXM6PFW02jz8PkjzXj42LUWo-sqth56AEqaikbMO4_yc,안성만지회권지훈,25,1
YZLbtn5y7Xyt00HIF6qJO5QVXsBAufHjubeVAYc1Gw5sOj0,xzei,25,3
s3adglPHPyNdyEeVTWO7oCm3yeo_LpPYLYfVs5KlTjSPS6k,재즈란무엇인가,25,1
fbHa4XSAmAqombMKCwm0aRYUf_ALCteytsZ_5d60u4p0NZKiZLQT8ONC1A,벌레새끼들차단함,25,1
D143UEUe9uryEaZGHt9RzbDgNrV5N4e-4Cz8jlfFifC6SVY,oursoonhwan,25,1
2i_bmxY--Gw-s43EzVAngF-rNsLrJyqifi2UKkxed6w4x4s,지건 못 참지,25,2
TVakLhmxg-Gjoz_qnsfTYXNJ3i4TfaHKTmJMIlLzddBPxw,How Much Mango,25,1
_hSXC9Ct5urXIACpCc_xeEKXOM2Ue2XHc_qeNyOR9iSfvg,이겼음,25,1
8h2Rz-bMi2Mc9LxAGrzyzE7yOv5A2POwoXCOraGh6gUAzCA,칼 쓰는 소년,25,1
1xXOx9_WjBvR_3RzjBoXTN6R3RyvhT_yGGaCRpolVfj7uLA,SKINFADE,25,1
4Wz6rhHPPmWqHZHi7exllXRsUALE5oYNpZgyB_6YXMNENRA,마의룡,25,5
v6ZidSdT_zbhKR7EahPDa-Ny74o8a11-mw5CxQu39fDdTvc,종합저축,24,1
weB4HdwscEIZn5r3m5Ni--W3QGP2W9jUu9vwlNWJgiFpjrE,서로파파,24,1
GwCAGdeU_K_Ra8yzHSF6xiqluIS4vR6w31kopq1kBAb9ozwzMofMZB-7NQ,완아 미안하다,24,1
